Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Category,Total of cases
200501BS70725,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,Driver or Rider (),
200501BS70771,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,Passenger,
200501BS70785,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,Pedestrian,
200501BS79097,1,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,5,1,,
200501CP00004,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501CP00008,2,1,Driver/Rider,2,-1,Unknown,2,0,0,0,0,-1,1,1,,
200501CP00074,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CP00076,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CP00084,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501CP00086,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CP00099,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,10,-1,,
200501CP00138,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,-1,,
200501CP00177,2,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,1,-1,,
200501CP00213,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CP00246,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CP00259,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CP00303,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CW10143,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501CW10201,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,1,,
200501CW10231,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,19,1,,
200501CW10247,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501CW10247,2,2,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501CW10353,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501CW10644,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501CW10658,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501CW10781,1,2,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,9,-1,,
200501CW10911,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,-1,,
200501CW10934,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CW10974,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,4,1,,
200501CW10992,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501CW10999,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501CW11156,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501CW11180,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501CW11257,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501CW11284,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501CW11396,1,1,Driver/Rider,2,-1,Unknown,2,0,0,0,0,-1,9,1,,
200501CW11578,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,19,1,,
200501CW11591,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501CW11650,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501CW11745,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,-1,,
200501CW11844,1,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,5,1,,
200501CW11929,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501CW11946,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,1,,
200501CW11971,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501CW19184,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501CW19284,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EK40147,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501EO00035,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501EO00052,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501EO00088,2,2,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO00116,3,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501EO40004,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40036,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40237,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,10,1,,
200501EO40359,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501EO40429,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40438,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501EO40509,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501EO40519,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40566,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40578,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40585,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40715,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO40730,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501EO40806,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501EO40817,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501EO40837,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501EO40935,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501EO41028,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501EO41029,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO41096,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,-1,,
200501EO41098,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501EO41104,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO41151,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501EO41156,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501EO41190,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501EO41302,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501EO41365,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501EO41391,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,8,1,,
200501EO41417,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501EO41517,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,11,1,,
200501FH00025,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,3,,
200501FH00056,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501FH10089,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501FH10130,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501FH10176,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501FH10192,2,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,4,1,,
200501FH10252,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,1,,
200501FH10356,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,4,-1,,
200501FH10357,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,-1,,
200501FH10361,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501FH10377,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501FH10417,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,-1,,
200501FH10477,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,4,1,,
200501FH10529,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501FH10570,1,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,5,1,,
200501FH10592,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501FH10599,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501FH10657,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501FH10659,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,1,,
200501FH10720,3,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,21,1,,
200501FH19020,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501FH19083,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,-1,,
200501GD10110,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501GD10264,2,2,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501GD10318,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501GD10339,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501GD10368,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501GD10415,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,11,1,,
200501GD10424,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501GD10496,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,4,-1,,
200501GD10523,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501GD10537,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,1,,
200501GD10550,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501GD10558,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501GD10559,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501GD10588,3,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,4,-1,,
200501GD10640,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,-1,,
200501GD10652,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501GD10743,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501GD10797,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501GD10806,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501GD10833,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501GD10842,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501GD10845,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501GD10876,1,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,4,-1,,
200501GD10923,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501GD10932,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501GD10942,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501GD10954,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,-1,,
200501GD10992,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501GD10998,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,-1,,
200501GD11013,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501GD11074,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501HT20015,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,-1,,
200501HT20066,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20099,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501HT20101,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20136,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20178,2,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,5,1,,
200501HT20213,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20242,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501HT20244,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501HT20278,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,3,1,,
200501HT20281,1,2,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,4,-1,,
200501HT20296,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501HT20298,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501HT20374,1,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,3,1,,
200501HT20389,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20400,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501HT20440,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501HT20445,2,2,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20447,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501HT20453,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20460,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20475,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,-1,,
200501HT20486,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501HT20502,2,3,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501HT20563,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501HT20565,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20647,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501HT20674,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501HT20710,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501HT20717,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20718,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501HT20752,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,2,1,,
200501HT20805,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501HT20807,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501HT20875,1,1,Driver/Rider,1,-1,Unknown,2,0,0,0,0,-1,9,1,,
200501HT20888,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501HT20920,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,1,,
200501ID60016,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501ID60096,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501ID60106,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30093,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JC30230,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JC30299,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,1,-1,,
200501JC30315,2,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JC30324,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JC30353,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,5,-1,,
200501JC30533,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
